Symbol,FinalValue_EMA9_20,FinalValue_EMA9_50,FinalValue_EMA20_50,FinalValue_EMA30_60,FinalValue_EMA50_200,FinalValue_SMA9_20,FinalValue_SMA9_50,FinalValue_SMA20_50,FinalValue_SMA30_60,FinalValue_SMA50_200
XLF,16240.391302877226,15931.661446452854,13474.370909365936,11297.684134003423,17131.367172038288,14281.870303363325,14383.388085090617,16402.61024476244,17096.405107647657,14272.98170879476
XLE,14409.490815914713,15018.570095374114,14282.961412963781,13606.536326201067,22057.101538315303,19064.30280139027,14725.788096096465,14405.810257051668,15723.284853526313,22190.721766208473
XLI,16440.295897195698,15094.402034763683,12428.470907144116,11745.559214300769,16950.790367992307,14948.104135123882,15186.830068408368,13984.130982324377,10237.84983774786,14827.24584819261
XLU,11682.874757711366,10689.466798929026,9247.456947926803,9131.010318417506,12986.041071093807,11665.093947039131,9958.695957878068,9988.830485491468,7944.516374696304,13566.631794407578
XLV,14330.290092975512,12482.35640845731,11321.6168103707,9289.566950187967,8899.183691516615,13145.001459278847,12803.65395046613,11972.34714426813,11465.920694888326,9531.156558847073
XLP,12810.580067130495,9827.054799057467,10995.92877267196,11181.879357315276,11600.21461812189,14381.27953840278,11083.484343198452,10889.831866713825,9725.174754425954,11418.981372245613
XLY,18146.9607285717,12313.171997803835,12063.731608609978,11666.734745394911,13685.466542325072,13593.181930204539,12614.468445272747,11760.416162803367,11276.739584102153,13208.636253115737
XLC,14653.465618415998,15630.632193844684,18072.826680008213,21992.516882039465,20234.40087995515,12153.073406800258,17231.24645222094,17543.554838507993,22372.261606034837,21834.802380215715
XLK,16393.43869766809,17031.862077667076,11961.029516754506,12376.261443218542,18524.356259789383,16557.55690199205,13914.533753750753,13184.136767473723,13755.39458375603,16937.89474081651
XLRE,12413.289628732115,11132.364298368459,10294.679399234155,9329.233901454869,10729.180899870325,11874.660850078262,11259.875993978856,9119.911638169064,8766.48488246659,7565.8326341004
AVGO,33761.41832633981,30188.38383485093,35082.970014244835,58031.91436845976,63158.96641392365,21861.9069652075,41444.561222293225,36497.94518155441,30730.96134509005,51055.48073731328
GOOG,23519.13531842858,21313.624251270532,20589.098286264027,18130.01871958763,24117.205426311597,27093.809012700367,30466.23270899289,31217.765294641325,33413.35588932272,23245.06463359692
MNST,12227.384953783547,13796.00946514004,14559.542263503436,14259.208838193035,12428.384477379605,14693.244912729602,12434.4847620572,15565.026381812631,14182.115360186135,11603.245333905114
CRM,7478.827916937963,10315.795589592914,9894.908341708686,8975.048886274652,11805.999311888816,4890.963649476256,7114.081558743,10507.146235437958,11630.6552504496,11561.758799216093
META,20781.44226980972,38056.89446934991,38857.338382926006,48800.847814702705,33234.752704739934,16816.4773547352,28341.595169067165,38703.78310617399,45904.74714512435,31327.17484101662
LLY,27015.830539712144,30871.607960819645,32081.8133950813,30188.44289264534,47027.82500818285,21979.441966285216,30956.980035279954,34807.65452009263,25913.651485653718,51391.45630095249
V,7538.846457833266,8143.910622975688,8637.25084971611,9683.415580417814,13768.345511675707,9217.449326145632,7519.076832106144,9499.446943885094,8450.892867439516,16103.011095817486
ADBE,7471.196693198576,6681.026204840737,6099.3194670031835,6695.296993449865,10127.649032017618,9128.629822142058,3807.3405189741397,3657.4987577763713,5098.534901370615,10634.862582747986
NOW,3819.9152087228786,9475.993096082197,12390.622735167575,12899.79667285486,14724.587639657922,7333.225599078433,7095.197357640926,9791.369736794608,16703.15240845157,14651.423374719452
MAGS,16115.707396603564,13875.733786469646,12528.24802442005,12317.07379720805,12211.379084531203,13806.123555063887,15428.690304538344,15566.609797094585,13628.337495910948,11521.494838698174
SMH,27954.4044603788,19423.285904284552,21694.391588458395,22974.451275753003,28366.483443260306,23192.043366916314,15518.440071417925,18455.996347733686,19564.06310516278,26310.162604931287
SPY,17554.6133783554,17811.691349461744,13078.457802144885,14614.134719973254,15391.354627118406,14445.938280212424,17557.87141756027,14351.374100905452,14475.960091952564,15129.353535261987
QQQ,15659.20968316229,17164.893617889727,14457.555482067803,17573.177609078662,17171.004786684625,14789.252510775352,15463.819432276423,15456.247166515483,14765.128415326155,18487.535103940216
VOO,17859.590418311484,17870.16493706966,13111.949872176598,14649.631238214128,15432.20820948348,14565.970269018586,17600.71541788668,14398.00982602737,14482.337291779066,15175.374631384853
TQQQ,31537.778587964764,17502.536499070196,20020.396156401443,18965.654887948825,25036.906780532296,23030.993111210224,27010.052450914027,7758.9618731098435,15927.84141425851,23001.506677275403
QCOM,7700.427424775977,11250.949483057384,7391.31955087693,6997.469326154958,8676.940085814691,6130.4561934357525,8585.408393074329,7370.976552725596,8238.379135614621,6611.11877875999
PLTR,30012.39216011317,28493.6348070222,36298.64528784521,80976.3378105241,107515.81503577674,20148.974930507844,36882.814892361785,24935.105890446397,22613.149786105005,136211.88799736553
MSFT,13788.185667398851,15222.761893806732,15284.95807028811,11680.662452391696,13706.853981583257,13073.266939798066,15702.403038858165,11207.66319130242,16096.812957428183,13473.010775809653
SMCI,39405.73082182869,24997.17148407893,34955.83219805659,33107.39327767429,106915.34956919697,13245.115134521035,13741.477722032192,10192.590871510858,10934.354617001582,7119.406111613218
AAPL,19271.809279394158,15060.90985568668,15577.577152160598,13872.249558956868,10657.850131120162,13753.230595770752,17563.8700313051,13414.002205080236,15118.901166882719,10234.179187533346
TSLA,39393.403127624646,12897.515556490393,15984.502681688204,8719.247726429612,5515.91192943483,77759.92001140857,31875.468611388762,17375.564182759077,7961.752417379643,7756.555862539823
NVDA,52667.182585367416,49014.07651882922,52050.81293038195,117956.38454128674,63334.49368620218,48386.39744211557,49709.17963166884,48011.78522387709,67019.09289846894,72381.48094951265
